Checking for ANY matches between tbl_ConfigOrderLine and cotizaciones...
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4422
Match! SKU=CE06740, Config=CE06740, HP=CR04730, Lenovo=CR04784, OrderID=4423
Match! SKU=CE06600, Config=CE06600, HP=CR04706, Lenovo=CR04790, OrderID=4423
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4424
Match! SKU=CE06589, Config=CE06589, HP=CR04649, Lenovo=CR04802, OrderID=4425
Match! SKU=CE06589, Config=CE06589, HP=CR04649, Lenovo=CR04802, OrderID=4426
Match! SKU=CE06578, Config=CE06578, HP=CR04675, Lenovo=CR04767, OrderID=4427
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4428
Match! SKU=CE06578, Config=CE06578, HP=CR04675, Lenovo=CR04767, OrderID=4429
Match! SKU=CE06578, Config=CE06578, HP=CR04675, Lenovo=CR04767, OrderID=4430
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4431
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4432
Match! SKU=CE06583, Config=CE06583, HP=CR04775, Lenovo=CR04754, OrderID=4434
Match! SKU=CE06610, Config=CE06610, HP=CR04692, Lenovo=CR04758, OrderID=4434
Match! SKU=CE06583, Config=CE06583, HP=CR04775, Lenovo=CR04754, OrderID=4435
Match! SKU=CE06610, Config=CE06610, HP=CR04692, Lenovo=CR04758, OrderID=4435
Match! SKU=CE06600, Config=CE06600, HP=CR04706, Lenovo=CR04790, OrderID=4437
Match! SKU=CE06600, Config=CE06600, HP=CR04706, Lenovo=CR04790, OrderID=4442
Match! SKU=CE06603, Config=CE06603, HP=CR04737, Lenovo=CR04786, OrderID=4443
Match! SKU=CE06600, Config=CE06600, HP=CR04706, Lenovo=CR04790, OrderID=4445
